Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Standardized_Strain,Unique_Chemicals,Unique_Strains,Final Count,Unnamed: 30,Unnamed: 31,Scaffold
CHEMBL452459,,,260.33,0.0,-0.6,n-PanAm-1,CCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',199000.0,nM,3.701146924,Outside typical range,,UO_0000065,0,CHEMBL2410786,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis,3D7,,,,,,
CHEMBL2408995,,,274.36,0.0,-0.21,alpha-PanAm-3,CCCCCNC(=O)CNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',142000.0,nM,3.847711656,Outside typical range,,UO_0000065,0,CHEMBL2410784,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis in presence of pantetheinase,3D7,,,,,,
CHEMBL1256761,,,436.08,1.0,5.56,NCGC00094252-01,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],IC50,'=',12589.25,nM,4.900000142,,,UO_0000065,0,CHEMBL1267251,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum W2 after 72 hrs by SYBR green assay,W2,,,,,,
CHEMBL1255757,,,127.53,0.0,-1.04,NCGC00093533-01,Cl.NOCC(=O)O,IC50,'=',10000.0,nM,5.0,,,UO_0000065,0,CHEMBL1267245,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum 3D7 after 72 hrs by SYBR green assay,3D7,,,,,,
CHEMBL448741,DIHYDROSPINGOSINE,,301.52,0.0,4.15,NCGC00093867-01,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,IC50,'=',12589.25,nM,4.900000142,,,UO_0000065,0,CHEMBL1267247,organism-based format,,CHEMBL1255382,1,Scientific Literature,Nat Chem Biol,,Antiplasmodial activity against Plasmodium falciparum D10 after 72 hrs by SYBR green assay,D10,,,,,,
CHEMBL1951761,ENIGMOL,,301.52,0.0,4.15,"1, Enigmol",CCCCCCCCCCCCC[C@H](O)C[C@H](O)[C@H](C)N,IC50,'=',12600.0,nM,4.899629455,,,UO_0000065,0,CHEMBL2039435,organism-based format,,CHEMBL2034950,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum D6 infected in O-positive human RBC assessed as [3H]-hypoxanthine incorporation after 48 hrs by scintillation counting,D6,,,,,,
CHEMBL1951761,ENIGMOL,,301.52,0.0,4.15,"1, Enigmol",CCCCCCCCCCCCC[C@H](O)C[C@H](O)[C@H](C)N,IC50,'=',5300.0,nM,5.27572413,,,UO_0000065,0,CHEMBL2039533,organism-based format,,CHEMBL2034950,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum D6 infected in O-positive human RBC assessed as [3H]-hypoxanthine incorporation after 48 hrs by scintillation counting in presence of BSA,D6,,,,,,
CHEMBL1766465,,,314.43,0.0,0.73,1,C=CC[C@](C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCCCC,IC50,'=',31000.0,nM,4.508638306,,,UO_0000065,0,CHEMBL3373874,organism-based format,,CHEMBL3352628,1,Scientific Literature,Bioorg Med Chem Lett,,Antimicrobial activity against chloroquine-sensitive Plasmodium falciparum 3D7 ring stage parasite assessed as reduction in parasite proliferation after 96 hrs in presence of 1 uM pantothenate by SYBR Safe DNA gel staining based assay,3D7,,,,,,
CHEMBL2036000,,,329.57,0.0,4.8,21,CCCCCCCCCCCCC[C@H](O)C[C@H](O)C(C)(C)NC,IC50,'=',700.0,nM,6.15490196,,,UO_0000065,0,CHEMBL2039533,organism-based format,,CHEMBL2034950,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum D6 infected in O-positive human RBC assessed as [3H]-hypoxanthine incorporation after 48 hrs by scintillation counting in presence of BSA,D6,,,,,,
CHEMBL2036002,,,328.54,1.0,5.01,22,CCCCCCCCCCCCCC(O)C/C(=N\O)C(C)(C)N,IC50,'=',7440.0,nM,5.128427064,,,UO_0000065,0,CHEMBL2039533,organism-based format,,CHEMBL2034950,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-sensitive Plasmodium falciparum D6 infected in O-positive human RBC assessed as [3H]-hypoxanthine incorporation after 48 hrs by scintillation counting in presence of BSA,D6,,,,,,
