Chemical,Count
CHEMBL1190161,7
CHEMBL304818,7
CHEMBL104,21
CHEMBL103,6
CHEMBL252248,1
CHEMBL278847,10
CHEMBL253715,8
CHEMBL329647,1
CHEMBL594581,2
CHEMBL594314,2
CHEMBL468427,3
CHEMBL55,25
CHEMBL239289,1
CHEMBL395618,1
CHEMBL238714,1
CHEMBL3099820,3
CHEMBL3088362,1
CHEMBL51483,5
CHEMBL3099821,3
CHEMBL258590,4
CHEMBL490322,2
CHEMBL1214432,2
CHEMBL2442613,1
CHEMBL2442603,1
CHEMBL2442602,1
CHEMBL3099819,3
CHEMBL3099599,1
CHEMBL394563,1
CHEMBL3103527,2
CHEMBL3103567,2
CHEMBL396533,1
CHEMBL3099043,1
CHEMBL2435432,1
CHEMBL2435441,1
CHEMBL2011974,1
CHEMBL3109523,1
CHEMBL3109544,1
CHEMBL3109543,1
CHEMBL3109542,2
CHEMBL3109539,1
CHEMBL503241,2
CHEMBL3103530,1
CHEMBL460849,1
CHEMBL472881,1
CHEMBL473683,1
CHEMBL473883,1
CHEMBL472866,1
CHEMBL392729,5
CHEMBL93286,2
CHEMBL565089,1
CHEMBL585162,2
CHEMBL245042,5
CHEMBL2113937,3
CHEMBL573506,2
CHEMBL577389,2
CHEMBL2087263,1
CHEMBL2087264,1
CHEMBL237170,3
CHEMBL397156,3
CHEMBL177263,1
CHEMBL270330,1
CHEMBL271809,1
CHEMBL92652,2
CHEMBL1822000,7
CHEMBL121071,1
CHEMBL379069,2
CHEMBL577959,1
CHEMBL3215792,1
CHEMBL89861,2
CHEMBL209283,2
CHEMBL424889,2
CHEMBL209848,2
CHEMBL571422,1
CHEMBL578415,1
CHEMBL572068,1
CHEMBL571122,2
CHEMBL1289997,3
CHEMBL1290202,3
CHEMBL1290655,3
CHEMBL1288758,3
CHEMBL2088682,3
CHEMBL2071294,2
CHEMBL1094087,1
CHEMBL2430992,2
CHEMBL269067,3
CHEMBL202782,1
CHEMBL2207881,1
CHEMBL427372,1
CHEMBL200087,1
CHEMBL35228,23
CHEMBL589703,2
CHEMBL2431010,2
CHEMBL2164255,2
CHEMBL441912,2
CHEMBL391683,2
CHEMBL237333,2
CHEMBL236909,2
CHEMBL237115,2
CHEMBL2387268,12
CHEMBL426494,2
CHEMBL383194,2
CHEMBL3098959,2
CHEMBL213676,2
CHEMBL2088680,2
CHEMBL209276,6
CHEMBL14276,9
CHEMBL36,106
CHEMBL3038214,2
CHEMBL3038213,2
CHEMBL243481,1
CHEMBL1450,115
CHEMBL10017,1
CHEMBL2017467,1
CHEMBL245084,4
CHEMBL245082,4
CHEMBL387600,4
CHEMBL242732,4
CHEMBL242083,4
CHEMBL382187,2
CHEMBL425237,2
CHEMBL2164259,4
CHEMBL284745,1
CHEMBL197258,1
CHEMBL2041980,11
CHEMBL2021964,1
CHEMBL2022219,1
CHEMBL2022220,1
CHEMBL2024105,1
CHEMBL565697,1
CHEMBL2023441,2
CHEMBL3356380,2
CHEMBL3356382,2
CHEMBL54629,1
CHEMBL1433,78
CHEMBL369473,1
CHEMBL3401319,3
CHEMBL3416951,3
CHEMBL150702,2
CHEMBL3403642,2
CHEMBL3403638,2
CHEMBL3318699,1
CHEMBL3318698,1
CHEMBL3318695,1
CHEMBL3321981,2
CHEMBL3321870,2
CHEMBL138782,1
CHEMBL3321977,4
CHEMBL3338047,1
CHEMBL3338055,1
CHEMBL3338038,1
CHEMBL324051,1
CHEMBL136459,4
CHEMBL3353677,2
CHEMBL5310563,4
CHEMBL5313303,5
CHEMBL5311249,4
CHEMBL5309900,4
CHEMBL5312892,2
CHEMBL3353301,1
CHEMBL1807205,1
CHEMBL5197800,2
CHEMBL5205069,2
CHEMBL5189159,1
CHEMBL5194794,2
CHEMBL5173257,2
CHEMBL5202365,2
CHEMBL62603,3
CHEMBL4781660,4
CHEMBL3354450,3
CHEMBL3354448,3
CHEMBL3354454,3
