Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,Potency_label,Representative_pIC50,Flag Groups,mol_freq,strain_freq
CHEMBL3218341,,,479.53,0.0,2.47,13f,CCCCOc1c(N(CCc2ccccc2)NC(=O)CNC(=O)OCc2ccccc2)c(=O)c1=O,IC50,'=',5170.0,nM,5.29,,,UO_0000065,0,CHEMBL3224860,organism-based format,,CHEMBL3217701,1,Scientific Literature,Medchemcomm,,Antiplasmodial activity against chloroquine-resistant ring stage of Plasmodium falciparum W2 infected in human RBC after 48 hrs by flow cytometric analysis,W2,5.29,inactive,5.29,CQR,1,5923
CHEMBL3218342,,,569.66,1.0,4.08,13g,CCCCOc1c(N(CCc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OCc2ccccc2)c(=O)c1=O,IC50,'=',4690.0,nM,5.33,,,UO_0000065,0,CHEMBL3224860,organism-based format,,CHEMBL3217701,1,Scientific Literature,Medchemcomm,,Antiplasmodial activity against chloroquine-resistant ring stage of Plasmodium falciparum W2 infected in human RBC after 48 hrs by flow cytometric analysis,W2,5.33,inactive,5.33,CQR,1,5923
CHEMBL2435699,,,413.9,0.0,3.74,6f,CCCCOc1c(N2CCC(Nc3ccnc4cc(Cl)ccc34)CC2)c(=O)c1=O,IC50,'=',4710.0,nM,5.33,,,UO_0000065,0,CHEMBL2439232,organism-based format,,CHEMBL2434851,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against ring stage of chloroquine-resistant Plasmodium falciparum W2 infected in human RBC after 48 hrs by flow cytometric analysis,W2,5.33,inactive,5.33,CQR,1,5923
CHEMBL2435698,,,399.88,0.0,2.99,6e,CCCCOc1c(N2CCN(c3ccnc4cc(Cl)ccc34)CC2)c(=O)c1=O,IC50,'=',7820.0,nM,5.11,,,UO_0000065,0,CHEMBL2439232,organism-based format,,CHEMBL2434851,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against ring stage of chloroquine-resistant Plasmodium falciparum W2 infected in human RBC after 48 hrs by flow cytometric analysis,W2,5.11,inactive,5.11,CQR,1,5923
CHEMBL3770728,,,397.48,0.0,3.32,5b,CCCCOc1c(NCCC(C)Nc2cc(OC)cc3cccnc23)c(=O)c1=O,IC50,'=',5100.0,nM,5.29,,,UO_0000065,0,CHEMBL3773518,organism-based format,,CHEMBL3769361,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 infected in human erythrocytes after 48 hrs by flow cytometry,W2,5.29,inactive,5.29,CQR,1,5923
CHEMBL2435705,,,411.5,0.0,3.71,9,CCCCOc1c(NCCCC(C)Nc2cc(OC)cc3cccnc23)c(=O)c1=O,IC50,'=',18590.0,nM,4.73,,,UO_0000065,0,CHEMBL2439232,organism-based format,,CHEMBL2434851,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against ring stage of chloroquine-resistant Plasmodium falciparum W2 infected in human RBC after 48 hrs by flow cytometric analysis,W2,4.73,inactive,4.73,CQR,1,5923
CHEMBL3769947,,,369.42,0.0,2.54,5c,CCCCOc1c(NCCNc2cc(OC)cc3cccnc23)c(=O)c1=O,IC50,'=',8500.0,nM,5.07,,,UO_0000065,0,CHEMBL3773518,organism-based format,,CHEMBL3769361,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum W2 infected in human erythrocytes after 48 hrs by flow cytometry,W2,5.07,inactive,5.07,CQR,1,5923
CHEMBL2435696,,,373.84,0.0,3.19,6c,CCCCOc1c(NCCNc2ccnc3cc(Cl)ccc23)c(=O)c1=O,IC50,'=',2040.0,nM,5.69,,,UO_0000065,0,CHEMBL2439232,organism-based format,,CHEMBL2434851,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against ring stage of chloroquine-resistant Plasmodium falciparum W2 infected in human RBC after 48 hrs by flow cytometric analysis,W2,5.69,inactive,5.69,CQR,1,5923
CHEMBL3218338,,,410.47,0.0,0.36,13c,CCCCOc1c(NNC(=O)[C@H](CC(C)C)NC(=O)N2CCOCC2)c(=O)c1=O,IC50,'=',9450.0,nM,5.03,,,UO_0000065,0,CHEMBL3224860,organism-based format,,CHEMBL3217701,1,Scientific Literature,Medchemcomm,,Antiplasmodial activity against chloroquine-resistant ring stage of Plasmodium falciparum W2 infected in human RBC after 48 hrs by flow cytometric analysis,W2,5.02,inactive,5.02,CQR,1,5923
CHEMBL1928848,,,595.72,1.0,3.38,8i,CCCCOc1c(N[C@@H](CC(C)C)C(=O)NN(CCc2ccccc2)C(=O)/C=C/S(=O)(=O)c2ccccc2)c(=O)c1=O,IC50,'=',4500.0,nM,5.35,,,UO_0000065,0,CHEMBL1930546,organism-based format,,CHEMBL1926620,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against ring stage Plasmodium falciparum W2 infected in human red blood cells after 48 hrs by flow cytometry,W2,5.35,inactive,5.35,,1,5923
