Scaffold,count
O=c1[nH]cnc2cc(-c3ccccc3)sc12,22
O=C1c2cccc3cccc(c23)C(=O)N1CCC[NH2+]CCCCCC[NH2+]CCCN1C(=O)c2cccc3cccc(c23)C1=O,22
O=C(CN(Cc1ccccc1)C(=O)c1ccccc1)NC1CCCCC1,22
O=c1cc(-c2cnn(Cc3ccccc3)c2)[nH]c2ccccc12,22
c1ccc(C2CCC3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)cc1,22
O=C1C=C(c2ccccc2)C(=O)c2ccccc21,22
O=C(c1cc2ccccc2s1)N1CCOCC1,22
O=C(NCCn1c2ccccc2c2ccncc21)OCC=Cc1ccccc1,22
c1ccc(CCc2cccc(N=c3cc[nH]cc3)c2)cc1,22
c1cncc(-c2cncc(-c3cccnc3)n2)c1,22
O=C(NCc1ccccc1)C1CNCC1c1ccccc1,22
c1ccc(-c2ccsc2)cc1,22
O=C1NC(=O)C2(CCN(Cc3ccccc3)CC2)N1,22
C1=CN(Cc2ccccc2)CC(Cc2ccccc2)C1=[N+]1CCCC1,22
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,22
O=C(Nc1nc(-c2ccccn2)cs1)c1ccccc1,21
c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1,21
O=c1oc2cccc3c(=O)oc4cccc1c4c23,21
c1ccc2nc3cccnc3cc2c1,21
C1CCC2C(C1)CCC1C2CCC2C3CCCC3CCC21,21
c1ccc(CNCCNc2nc3ccccc3[nH]2)cc1,21
O=C1C=CC2(C=C1)CCC1(CCCCO1)O2,21
O=C(NC(CCNCc1ccccc1)Cc1ccccc1)c1ccc(N2CCNCC2)cc1,21
O=C(Cn1cnc2cccnc2c1=O)C1CCCN1,21
C1=CC(c2ccc(N3CCN(c4ccnc5ccccc45)CC3)cc2)c2ccccc2O1,21
c1ccc(C2CC3CCNC2C(c2ccccc2)C3)cc1,21
O=C(COc1ccc2c(=O)cc(-c3ccccc3)oc2c1)N1CCN(Cc2ccccc2)CC1,21
c1ccc(CCCCNCCc2ccccc2)cc1,21
c1ccc(-c2cncc(-c3ccccc3)n2)cc1,21
C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24,21
c1ccc(N2CCN(CCCc3cccc4ccccc34)CC2)cc1,21
O=c1[nH]cnc2[nH]cnc12,20
O=C(NCC1CNC2Cc3c[nH]c4cccc(c34)C2C1)c1ccccc1,20
O=c1c2ccccc2[nH]c2cc(-c3ccccc3)ccc12,20
c1ccc(NCc2cnc3ncncc3n2)cc1,20
O=C1C(=Cc2ccccc2)Nc2ccccc21,20
O=C(CNC(=O)CNC(=O)c1ccc(Oc2ccccc2)cc1)NCCCCNc1cccc2cccnc12,20
C1=CC(c2ccc(Cc3ccccc3)[nH]2)=NC1=Cc1ccc[nH]1,20
C1=CC(c2ccc[nH]2)=NC1=Cc1[nH]c(Cc2ccccc2)cc1Cc1ccccc1,20
c1ccc(Sc2ncnc3ccccc23)cc1,20
O=C1C=C(C(Sc2ccccc2)c2ccccc2)C(=O)c2ccccc21,20
c1cc2cc(c1)Oc1ccc(cc1)CC1NCCc3cccc(c31)Oc1ccc3c(c1)C(C2)NCC3,20
c1ccc(-c2ccc(CNCC3CCNCC3)o2)cc1,20
c1ccc(Nc2ccnc3ccnn23)cc1,20
C1CC2CCC3OOC24C(C1)COC4O3,20
c1ccc(C(Nc2ccc(Nc3ccnc4ccccc34)cc2)c2nnn[nH]2)cc1,19
c1ccc2c(c1)c[nH+]c1c3ccccc3ccc21,19
C1=CC2CCCC3CCC4OOC23C(O1)O4,19
O=C(NNc1ccncn1)C1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3,19
O=C(NCc1ccccc1)c1ccccc1,19
c1ccc2c(NCCN3CCNCC3)ccnc2c1,19
O=C(NCc1ccccc1)n1cnc(S(=O)(=O)C2CC3CCC2C3)n1,19
c1ccc(C(c2ccccc2)N2CCN(c3cnccn3)CC2)cc1,19
C(=Cc1ccccc1)Cn1cc(Cn2c3ccccc3c3ccncc32)nn1,19
O=C(NCCCNc1nc2ccccc2c2[nH]c3ccccc3c12)Nc1ccccc1,19
