Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Unnamed: 26,Unnamed: 27,Unnamed: 28,verify_strain,stand_strain,unique_chemicals,stand_strain_bin,pIC50
CHEMBL586468,,,278.31,0.0,3.9,18984,Cc1cc(NC(=O)c2ccc(-c3ccccc3)cc2)no1,IC50,'=',775.1,nM,6.11,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.11
CHEMBL527730,,,367.28,0.0,3.7,19017,COCCNCC(O)Cn1c2ccc(Cl)cc2c2cc(Cl)ccc21,IC50,'=',651.8,nM,6.19,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.19
CHEMBL532155,,,397.54,0.0,3.75,19313,Cn1c(=O)c2cc(C(=O)NCCCN3CCCCCC3)sc2c2ccccc21,IC50,'=',366.4,nM,6.44,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.44
CHEMBL582180,,,458.63,1.0,5.3,19741,Cc1ccc(C)c(Cn2c(N3CCC(C(=O)NCc4cccs4)CC3)nc3ccccc32)c1,IC50,'=',1156.0,nM,5.94,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.94
CHEMBL581187,,,456.98,1.0,5.34,20490,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(-c2cccnc2)nc2ccc(Cl)cc12,IC50,'=',1225.0,nM,5.91,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,5.91
CHEMBL602586,,,309.41,0.0,3.34,73843,CN(C)c1ccc(N=Cc2ccc(N3CCOCC3)cc2)cc1,IC50,'=',345.3,nM,6.46,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.46
CHEMBL532141,,,636.71,2.0,10.45,753,Oc1ccc(-c2nc(-c3ccc4oc5ccc(-c6[nH]c(-c7ccc(O)cc7)nc6-c6ccccc6)cc5c4c3)c(-c3ccccc3)[nH]2)cc1,IC50,'=',683.1,nM,6.17,,,UO_0000065,0,CHEMBL3392923,organism-based format,,CHEMBL3392922,17,Medicines for Malaria Venture () Malaria Box,,,"MMV: IC50 determined against P. falciparum Dd2-luc strain using a Malaria Sybr Green I Fluorescence assay. Starting conditions were 1% trophozoite synchronised parasites at 2% haematocrit. Fluorescence detection completed after 48hr incubation at 37 degrees C under 1% O2, 3% CO2 and balance N2.",,,,Dd2-luc,Dd2,,Dd2,6.17
CHEMBL238442,,,320.4,0.0,3.28,17,c1ccc(Oc2ccc(-c3cc(N4CCNCC4)[nH]n3)cc2)cc1,IC50,'=',6600.0,nM,5.18,,,UO_0000065,0,CHEMBL901502,organism-based format,L6,CHEMBL1138251,1,Scientific Literature,J Med Chem,CHEMBL3308469,"Antiparasitic activity against chloroquine, pyrimethamine-resistant Plasmodium falciparum K1 erythrocyte stage infected rat L6 cells",,,,K1,K1,,K1,5.18
CHEMBL416956,MEFLOQUINE,4.0,378.32,0.0,4.45,mefloquine,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,IC50,'=',9.63,nM,8.02,,,UO_0000065,0,CHEMBL910396,organism-based format,,CHEMBL1142194,1,Scientific Literature,Antimicrob Agents Chemother,,Growth inhibition of Plasmodium falciparum HB3 ring stage in infected erythrocytes after 72 hrs in DAPI fluorimetry,,,,HB3,HB3,,HB3,8.02
CHEMBL320497,SUBEROHYDROXAMIC ACID,,204.23,0.0,0.34,SBHA,O=C(CCCCCCC(=O)NO)NO,IC50,'=',1513.56,nM,5.82,,,UO_0000065,0,CHEMBL969265,organism-based format,,CHEMBL1157182,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 after 48 hrs by LDH reporter assay,,,,W2,W2,,W2,5.82
CHEMBL5434807,,,457.46,0.0,4.15,11,FC(F)(F)c1nc(-c2ccc(CCN3CCC(Nc4nc5cnccc5[nH]4)CC3)cc2)no1,IC50,'=',1390.0,nM,5.86,,,UO_0000065,0,CHEMBL5338530,organism-based format,,CHEMBL5335864,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against late stage gametocytes Plasmodium falciparum NF54 incubated for 48 hrs by luciferase activity assay,,,,NF54,NF54,,NF54,5.86
CHEMBL458027,NORCAESALPININ C,,418.49,0.0,2.74,9,CC(=O)O[C@H]1CC(C)(C)[C@]2(O)CCc3c(cc(O)c(C=O)c3C)[C@@]2(C)[C@H]1OC(C)=O,IC50,'=',5000.0,nM,5.3,,,UO_0000065,0,CHEMBL5130850,organism-based format,Erythrocyte,CHEMBL5126639,1,Scientific Literature,J Nat Prod,,Antimalarial activity against Plasmodium falciparum FCR-3/A2 erythrocytic stage infected in human erythrocytes assessed as reduction in parasite growth after 48 hrs by Giemsa staining based assay,,,,FCR-3/A2,FCR-3/A2,,FcR-3/A2,5.3
CHEMBL2086449,,,392.45,0.0,3.54,150,COc1cc([C@H](O)[C@@H](C)Oc2c(OC)cc(C)cc2OC)cc(OC)c1OC,IC50,'=',380.0,nM,6.42,,,UO_0000065,0,CHEMBL2090888,organism-based format,HepG2,CHEMBL2086285,1,Scientific Literature,J Med Chem,CHEMBL3307718,Antimalarial activity against liver stages of Plasmodium falciparum NF54 infected in human HepG2 cells after 6 days by fluorescence microscopy,,,,NF54,NF54,,NF54,6.42
CHEMBL294323,,,242.23,0.0,2.11,1,CC(O)c1cc2c(o1)C(=O)c1ccccc1C2=O,IC50,'=',718.0,nM,6.14,,,UO_0000065,0,CHEMBL970002,organism-based format,,CHEMBL1155597,1,Scientific Literature,J Nat Prod,,Antimalarial activity after 48 hrs against chloroquine-resistant Plasmodium falciparum K1 by LDH reporter assay,,,,K1,K1,,K1,6.14
CHEMBL587714,"3',4' DICHLOROBENZAMIL",,388.65,0.0,1.85,"3',4' dichlorobenzamil",N/C(=N\C(=O)c1nc(Cl)c(N)nc1N)NCc1ccc(Cl)c(Cl)c1,IC50,'=',143.0,nM,6.84,,,UO_0000065,0,CHEMBL1678152,organism-based format,,CHEMBL1671701,1,Scientific Literature,Antimicrob Agents Chemother,,Antiplasmodial activity against Plasmodium falciparum 3D7 infected in RBCs by firefly luciferase reporter gene assay,,,,3D7,3D7,,3D7,6.84
CHEMBL76,CHLOROQUINE,4.0,319.88,0.0,4.81,1,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,'=',22.0,nM,7.66,,,UO_0000065,0,CHEMBL1012851,organism-based format,,CHEMBL1139381,1,Scientific Literature,J Med Chem,,Antimalarial activity after 72 hrs against chloroquine-sensitive Plasmodium falciparum D10 infected human A+ erythrocytes in Makler LDH reporter assay,,,,D10,D10,,D10,7.66
CHEMBL9391,,,400.44,1.0,2.76,5,N=C(N)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C(=N)N)cc3)c2)cc1,IC50,'=',697.0,nM,6.16,,,UO_0000065,0,CHEMBL926257,organism-based format,,CHEMBL1140635,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum D6 by LDH reporter assay,,,,D6,D6,,D6,6.16
CHEMBL495959,,,478.42,1.0,6.58,4i,Clc1cccc(C(Nc2ccnc3cc(Cl)ccc23)c2ccc(CN3CCOCC3)cc2)c1,IC50,'=',220.0,nM,6.66,,,UO_0000065,0,CHEMBL1012852,organism-based format,,CHEMBL1139381,1,Scientific Literature,J Med Chem,,Antimalarial activity after 72 hrs against chloroquine-resistant Plasmodium falciparum W2 infected human A+ erythrocytes by Makler LDH reporter assay,,,,W2,W2,,W2,6.66
CHEMBL500114,,,563.97,2.0,8.72,4d,FC(F)(F)c1cc(NC(c2ccc(Cl)cc2)c2ccc(CN3CCCC3)cc2)c2cccc(C(F)(F)F)c2n1,IC50,'=',1371.0,nM,5.86,,,UO_0000065,0,CHEMBL1012852,organism-based format,,CHEMBL1139381,1,Scientific Literature,J Med Chem,,Antimalarial activity after 72 hrs against chloroquine-resistant Plasmodium falciparum W2 infected human A+ erythrocytes by Makler LDH reporter assay,,,,W2,W2,,W2,5.86
CHEMBL35228,PYRONARIDINE,3.0,518.06,2.0,6.09,Pyronaridine,COc1ccc2nc3cc(Cl)ccc3c(Nc3cc(CN4CCCC4)c(O)c(CN4CCCC4)c3)c2n1,IC50,'=',12.0,nM,7.92,,,UO_0000065,0,CHEMBL4150765,organism-based format,,CHEMBL4145643,1,Scientific Literature,J Nat Prod,,Antiplasmodial activity against drug-sensitive Plasmodium falciparum 3D7 ring stage infected in human erythrocytes after 72 hrs by DAPI staining based method,,,,3D7,3D7,,3D7,7.92
CHEMBL405110,METHYLENE BLUE ANHYDROUS,4.0,319.86,0.0,2.5,methylene blue,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],IC50,'=',190.0,nM,6.72,,,UO_0000065,0,CHEMBL4835672,organism-based format,,CHEMBL4834426,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against asexual stage (I/III) Plasmodium falciparum NF54 early gametocytes transfected with GFP-Luc assessed as inhibition of exflagellation of male gametes incubated for 48 hrs by microscopy based luciferase reporter gene assay relative to control,,,,NF54,NF54,,NF54,6.72
CHEMBL4174272,,,462.61,0.0,0.45,5m,Clc1ccc2c(c1)[I+]c1ccccc1-2.O=S(=O)([O-])C(F)(F)F,IC50,'=',70.0,nM,7.16,,,UO_0000065,0,CHEMBL4146076,organism-based format,,CHEMBL4145448,1,Scientific Literature,Eur J Med Chem,,Growth inhibition of CQ-sensitive GFP-fused Plasmodium falciparum D10 after 90 hrs by ethidium bromide staining based flow cytometry,,,,D10,D10,,D10,7.15
CHEMBL4166227,,,462.61,0.0,0.45,5c,Clc1cccc2c1-c1ccccc1[I+]2.O=S(=O)([O-])C(F)(F)F,IC50,'=',70.0,nM,7.16,,,UO_0000065,0,CHEMBL4146077,organism-based format,,CHEMBL4145448,1,Scientific Literature,Eur J Med Chem,,Growth inhibition of drug-resistant GFP-fused Plasmodium falciparum D10 after 90 hrs by ethidium bromide staining based flow cytometry,,,,D10,D10,,D10,7.15
