dataset,smiles,max_tani
Sexual,COC1=CC(c2ccc[nH]2)=N/C1=C\c1[nH]c(Cc2ccc(Br)cc2)cc1Cc1ccc(F)cc1,0.9152542372881356
Sexual,COC1=CC(c2ccc[nH]2)=N/C1=C\c1[nH]c(Cc2ccccc2Cl)cc1Cc1ccccc1Cl,0.8333333333333334
Sexual,COC1=CC(c2ccc[nH]2)=N/C1=C\c1[nH]ccc1Cc1ccccc1,0.8461538461538461
Sexual,COC1=CC(c2ccc[nH]2)=N/C1=C\c1[nH]c(Cc2ccc(Cl)cc2)cc1Cc1ccc(Cl)cc1,0.9152542372881356
Sexual,COC1=CC(c2ccc[nH]2)=N/C1=C\c1[nH]c(Cc2ccc(Br)cc2)cc1Cc1ccc(Cl)cc1,0.9152542372881356
Sexual,CCN(CC)CCCNc1cc(-c2cccc(F)c2)c(C#N)c2nc3ccccc3n12,0.9016393442622951
Sexual,N#Cc1c(-c2ccc(C(F)(F)F)cc2)cc(NCCN2CCOCC2)n2c1nc1ccccc12,0.9076923076923077
Sexual,CCCc1cc(N2CCN(Cc3ccc(F)cc3)CC2)n2c(nc3ccccc32)c1C#N,0.65625
Sexual,CCNCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12,0.8387096774193549
Sexual,CN(C)CCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12.CS(=O)(=O)O,0.9032258064516129
Sexual,CN(C)CCCNc1cc(-c2ccc(C(F)(F)F)cc2)c(C#N)c2nc3ccccc3n12.Cl.Cl,0.9830508474576272
Sexual,O=C(CN1CCCCC1)Nc1cc(CN2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)cc(Nc2ccnc3cc(Cl)ccc23)c1,0.8507462686567164
Sexual,CN1CCCN=C1c1ccc(N2CCN(c3ccc(C4=NCCCN4C)cc3)CC2)cc1.Cl.Cl,0.46511627906976744
Sexual,CO[C@H]1O[C@@]2(C)OOC13[C@H](CCOCc1ccccc1)CCC[C@@H]3C[C@@H]2C,0.8305084745762712
Sexual,Clc1ccc2c(NCCN3CCN(c4ccnc5cc(Cl)ccc45)CC3)ccnc2c1,0.7708333333333334
Sexual,CC(C)NCCCNc1c2ccccc2[n+](C)c2c1[nH]c1ccccc12.[Cl-],0.74
Sexual,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,1.0
Sexual,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C1=C2OC(C)(C)C=C1,0.6176470588235294
Sexual,C[n+]1c2ccccc2c(NCCCN2CCCCC2)c2[nH]c3ccccc3c21.[Cl-],0.6851851851851852
Sexual,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)Nc2cccc(-c3ccccc3)c2OC)[C@H](C)[C@@H](O)[C@]1(C)O,0.8547008547008547
